INSTRUCTION,OPCODE,FUNCT3 ,FUNCT7,,CSRType,SwapCSR ,Instruction_Type,Rem_Instr,Div_Instr,Mult_Instr,Sign_or_Un,Immediate_Calc,PC_Select,JAL,LD_or_ALU,B_H_W,Write_Mem_En,Write_Reg,ALUCode,SHFCode,Imm_Or_Reg,,,NOTES: 
MULH ,"""0110011""","""001""","""0000001""",,X,0,"""01""",X,X,"""01""",0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
MULHSU,"""0110011""","""010""","""0000001""",,X,0,"""01""",X,X,"""10""",0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
MULHU ,"""0110011""","""011""","""0000001""",,X,0,"""01""",X,X,"""11""",0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DIV ,"""0110011""","""100""","""0000001""",,X,0,"""10""",X,"""0""",X,0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
DIVU ,"""0110011""","""101""","""0000001""",,X,0,"""10""",X,"""1""",X,0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
REM ,"""0110011""","""110""","""0000001""",,X,0,"""11""","""0""",X,X,0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
REMU,"""0110011""","""111""","""0000001""",,X,0,"""11""","""1""",X,X,0,X,0,0,0,0,0,1,"""000""","""00""",0,,,
PRIVELIGE MODE:,,,,,,,,,,,,,,,,,,,,,,,,
CSRRW ,"""1110011""","""001""",X,,"""000""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
CSRRS ,"""1110011""","""010""",X,,"""001""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
CSRRC,"""1110011""","""011""",X,,"""010""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
CSRRWI,"""1110011""","""101""",X,,"""011""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
CSRRSI,"""1110011""","""110""",X,,"""100""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
CSRRCI,"""1110011""","""111""",X,,"""101""",1,"""00""",X,X,X,0,X,0,0,0,0,0,0,"""000""","""00""",0,,,
